,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
6,2020-02-14 06:14:10,crazeclown,,769,5671,14485,What colour is the best for a Casket? pic.twitter.com/7oQxLM9q05,,,,1.22820074118718E+018,https://twitter.com/crazeclown/status/1228200741187178497,video,117100,pic.twitter.com/7,Craze Clown
18,2020-02-03 16:21:52,crazeclown,,2,48,265,Simply MAD!pic.twitter.com/CC1pVpkRsP,,,,1.22436740964303E+018,https://twitter.com/crazeclown/status/1224367409643032576,picture,0,pic.twitter.com/C,Craze Clown
19,2020-02-02 13:22:55,crazeclown,,1088,7333,23665,... Only if I could outrun this Dubai police cars this man would have been explaining my slap to witnesses pic.twitter.com/bcDgc7UeyH,,,,1.22395998437704E+018,https://twitter.com/crazeclown/status/1223959984377036801,video,185000,pic.twitter.com/b,Craze Clown
28,2020-01-28 08:40:28,crazeclown,,9,128,478,Me chasing my Dreams until Reality Hits me pic.twitter.com/PMRlqxF0Fi,,,,1.22207696602468E+018,https://twitter.com/crazeclown/status/1222076966024683522,video,7700,pic.twitter.com/P,Craze Clown
35,2020-01-24 16:51:59,crazeclown,,75,687,1966,DUBAI was short lived pic.twitter.com/lAmcvbRmaJ,,,,1.22075110884873E+018,https://twitter.com/crazeclown/status/1220751108848734213,video,13700,pic.twitter.com/l,Craze Clown
41,2020-01-23 06:32:53,crazeclown,,17,64,296,BOMBOCLAT pic.twitter.com/3sr4qiEgZe,,,,1.22023292003364E+018,https://twitter.com/crazeclown/status/1220232920033636352,picture,0,pic.twitter.com/3,Craze Clown
47,2020-01-21 19:33:39,crazeclown,,46,293,2560,Thank you Mr Saif Ahmad Belhasa for hosting me at your Farm Great experience. Very Humble Man i say pic.twitter.com/GL6kadELyc,,,,1.21970463004267E+018,https://twitter.com/crazeclown/status/1219704630042669056,picture,0,pic.twitter.com/G,Craze Clown
48,2020-01-21 06:06:42,crazeclown,,304,2301,4880,When people watch Drug movies and start acting up W/ @lasisielenupic.twitter.com/UijUxqxfg3,,@lasisielenupic,,1.21950155603645E+018,https://twitter.com/crazeclown/status/1219501556036448256,video,50100,pic.twitter.com/U,Craze Clown
49,2020-01-20 14:40:16,crazeclown,,76,588,1864,pic.twitter.com/kfsHTZC4VR,,,,1.21926840926064E+018,https://twitter.com/crazeclown/status/1219268409260638209,video,16000,pic.twitter.com/k,Craze Clown
67,2020-01-15 22:15:32,crazeclown,,39,145,627,Ladies Valentine is one month away ... guys am I speaking on your behalf?pic.twitter.com/YFzZdCJCDf,,,,1.21757104230838E+018,https://twitter.com/crazeclown/status/1217571042308378624,picture,0,pic.twitter.com/Y,Craze Clown
70,2020-01-15 22:11:24,crazeclown,,188,981,3610,Don’t ask me what happened afterwards Local man is in Love pic.twitter.com/9n0rIWFkXk,,,,1.21757000378612E+018,https://twitter.com/crazeclown/status/1217570003786117120,video,46700,pic.twitter.com/9,Craze Clown
74,2020-01-15 08:08:11,crazeclown,,14,53,366,I really really LOVE it!! https://twitter.com/FlyDammy/status/1217132958093582341 …pic.twitter.com/MXoUvcErlk,,,,1.21735780111639E+018,https://twitter.com/crazeclown/status/1217357801116393472,video,4000,pic.twitter.com/M,Craze Clown
77,2020-01-13 16:21:18,crazeclown,,79,510,1876,When you think you are finally FREE pic.twitter.com/2uUIyhKjOb,,,,1.21675711965297E+018,https://twitter.com/crazeclown/status/1216757119652966402,video,11700,pic.twitter.com/2,Craze Clown
80,2020-01-12 11:47:23,crazeclown,,26,169,1544,Holiday is over I’m gonna miss my nephew @NastyBlaq @Og_tegapic.twitter.com/KIED7hYtwg,,@NastyBlaq @Og_tegapic,,1.21632579806551E+018,https://twitter.com/crazeclown/status/1216325798065512458,picture,0,pic.twitter.com/K,Craze Clown
87,2020-01-10 19:29:33,crazeclown,,12,33,245,You say what? https://twitter.com/Famousino/status/1215559025061957632 …pic.twitter.com/ZNst6QfnPA,,,,1.21571733200743E+018,https://twitter.com/crazeclown/status/1215717332007432192,picture,0,pic.twitter.com/Z,Craze Clown
92,2020-01-09 18:29:55,crazeclown,,49,175,1186,Oh for those asking ... she did say YES Local man is weak https://twitter.com/jojowigs/status/1214979311394050054 …pic.twitter.com/Wusoq4LYxk,,,,1.21533993672087E+018,https://twitter.com/crazeclown/status/1215339936720871424,picture,0,pic.twitter.com/W,Craze Clown
101,2020-01-07 22:46:42,crazeclown,,30,108,1116,LEGENDARY @MichaelBlackson @Og_tegapic.twitter.com/qFk87X9NBC,,@MichaelBlackson @Og_tegapic,,1.21467978162049E+018,https://twitter.com/crazeclown/status/1214679781620490240,picture,0,pic.twitter.com/q,Craze Clown
102,2020-01-06 10:20:54,crazeclown,,380,3852,11019,Sometimes Apologies are not needed now who will apologise to me pic.twitter.com/ZDcdPBt5hP,,,,1.21412970973645E+018,https://twitter.com/crazeclown/status/1214129709736452096,video,103200,pic.twitter.com/Z,Craze Clown
110,2020-01-01 07:29:18,crazeclown,,542,6972,15375,What are you letting into our lives this year and what are you kicking out?pic.twitter.com/K1XVAEH1iT,,,,1.21227458399218E+018,https://twitter.com/crazeclown/status/1212274583992180741,video,127600,pic.twitter.com/K,Craze Clown
