,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
0,2020-02-23 14:19:53,lasisielenu,,338,283,1987,"IF ONE MORE PERSON TAGS, MENTIONS, OR SENDs ME THIS PIC AGAIN AND SAYS HE LOOKS LIKE ME, WE WOULD HAVE A BIG PROBLEM OOOOO. YOU DEY MAAD NI pic.twitter.com/fXePYMYQ1C",,,,1.23158446655397E+018,https://twitter.com/lasisielenu/status/1231584466553974784,picture,0,pic.twitter.com/f,Lasisi
1,2020-02-21 08:25:13,lasisielenu,,133,561,2133,My father my father pic.twitter.com/vz2DlvLvJp,,,,1.23077043596223E+018,https://twitter.com/lasisielenu/status/1230770435962232832,video,16600,pic.twitter.com/v,Lasisi
2,2020-02-21 08:20:24,lasisielenu,,255,1341,4842,My father my father part 1pic.twitter.com/UHsLdpzqSP,,,,1.23076922383357E+018,https://twitter.com/lasisielenu/status/1230769223833571332,video,50200,pic.twitter.com/U,Lasisi
3,2020-02-19 07:50:13,lasisielenu,,747,2489,7736,What do you think Sinzu Money eventually did? Hit the link now https://youtu.be/BeGqWcQ-1r8 Tag 5 friends who you know will come to your aid if it were you. #spending #jacuzzi #sinzumoney #lifestyle #lasisielenupic.twitter.com/F4z8nE1UNa,,,#spending #jacuzzi #sinzumoney #lifestyle #lasisielenupic,1.2300368531533E+018,https://twitter.com/lasisielenu/status/1230036853153304576,video,63000,pic.twitter.com/F,Lasisi
4,2020-02-16 18:59:47,lasisielenu,,274,891,4150,Goodnightpic.twitter.com/bX4bRfjUy2,,,,1.22911819088787E+018,https://twitter.com/lasisielenu/status/1229118190887866371,video,26400,pic.twitter.com/b,Lasisi
6,2020-02-15 11:23:51,lasisielenu,,423,852,4058,Tag 5 people you know didn’t have the best of Valentine. Tag yourself if you follow #spending #sinzumoney #lasisielenu #jacuzzi #zaaddy #painedpic.twitter.com/BVCXdFQHus,,,#spending #sinzumoney #lasisielenu #jacuzzi #zaaddy #painedpic,1.22864106396915E+018,https://twitter.com/lasisielenu/status/1228641063969153024,video,27900,pic.twitter.com/B,Lasisi
7,2020-02-14 07:35:13,lasisielenu,,693,2135,7609,Some people’s girlfriends will not pick their calls today. Zaaddy is in town.pic.twitter.com/cH0WD6ygbA,,,,1.22822114086416E+018,https://twitter.com/lasisielenu/status/1228221140864159744,video,58500,pic.twitter.com/c,Lasisi
9,2020-02-13 06:26:12,lasisielenu,,150,624,3014,Tag a jealous lover. #lasisielenu #lasisified #sinzumoney #jacuzzi #spendingpic.twitter.com/ZAzopUriqj,,,#lasisielenu #lasisified #sinzumoney #jacuzzi #spendingpic,1.22784138307296E+018,https://twitter.com/lasisielenu/status/1227841383072960512,video,23600,pic.twitter.com/Z,Lasisi
11,2020-02-12 08:28:37,lasisielenu,,148,610,2873,Last part of the video guys. it always ends in tearspic.twitter.com/j9oGzMpbP5,,,,1.22750980320071E+018,https://twitter.com/lasisielenu/status/1227509803200712704,video,23100,pic.twitter.com/j,Lasisi
12,2020-02-12 08:25:23,lasisielenu,,197,1030,3657,Our mums Tag as many friends as you can. #lasisielenu #simzumomey #spending #lasisified #jacuzzipic.twitter.com/5JRAcLIsi5,,,#lasisielenu #simzumomey #spending #lasisified #jacuzzipic,1.22750898765605E+018,https://twitter.com/lasisielenu/status/1227508987656048642,video,26100,pic.twitter.com/5,Lasisi
13,2020-02-11 10:31:08,lasisielenu,,385,709,4056,If you don’t know the song it means from now on when you wake up you must come on my page and say Good morning Uncle Lasisi Elenu Who sang the song? #lasisielenu #lasisified #simzumoney #spending #jacuzzi #lifestyle #spartacus #brasegun #zaddy #poetrypic.twitter.com/35hrzOogYb,,,#lasisielenu #lasisified #simzumoney #spending #jacuzzi #lifestyle #spartacus #brasegun #zaddy #poetrypic,1.227178248163E+018,https://twitter.com/lasisielenu/status/1227178248163004417,video,30000,pic.twitter.com/3,Lasisi
14,2020-02-09 19:33:20,lasisielenu,,93,279,1717,A Sunday I would never forget Hit the link to watch full video. https://youtu.be/w070yylBl3A pic.twitter.com/iPyaBipbW1,,,,1.22658991924783E+018,https://twitter.com/lasisielenu/status/1226589919247831041,video,13500,pic.twitter.com/i,Lasisi
15,2020-02-07 08:06:50,lasisielenu,,210,609,3518,A friend in you ft @Sydneytalkerr #lasisified #lasisielenu #spending #jacuzzi #tgifpic.twitter.com/TiLMbgAgbk,,@Sydneytalkerr,#lasisified #lasisielenu #spending #jacuzzi #tgifpic,1.22569238068831E+018,https://twitter.com/lasisielenu/status/1225692380688306177,video,26700,pic.twitter.com/T,Lasisi
16,2020-02-06 07:21:22,lasisielenu,,139,38,505,It’s TBT guys!! Now I think about it and just smile. How time flies. Still hate Chemistry but love Mr Campus now. Tag your friends. #sinzumoney #lasisified #lasisielenu #spending #jacuzzi #tbtpic.twitter.com/n3tYRCD3Cm,,,#sinzumoney #lasisified #lasisielenu #spending #jacuzzi #tbtpic,1.22531855214986E+018,https://twitter.com/lasisielenu/status/1225318552149864449,picture,0,pic.twitter.com/n,Lasisi
