,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
9,2020-02-22 08:34:27,mrmacaronii,,911,6098,13969,Ooin Secondary School pic.twitter.com/zuKQMdZh76,,,,1.23113514787087E+018,https://twitter.com/mrmacaronii/status/1231135147870867456,video,173800,pic.twitter.com/z,Macaroni
17,2020-02-21 21:29:50,mrmacaronii,,29,153,983,I need to meet this couple abeg They are doing well. Ooin!! pic.twitter.com/3nZdpCPgr9,,,,1.23096789342636E+018,https://twitter.com/mrmacaronii/status/1230967893426364418,picture,0,pic.twitter.com/3,Macaroni
25,2020-02-20 07:35:49,mrmacaronii,,802,3898,9921,Somebody Pray For Me pic.twitter.com/GRZhoMdKkq,,,,1.23039561578958E+018,https://twitter.com/mrmacaronii/status/1230395615789580288,video,113100,pic.twitter.com/G,Macaroni
30,2020-02-19 08:29:33,mrmacaronii,,648,3799,9363,I am looking for a Driver pic.twitter.com/X3OePmsLaw,,,,1.23004675321232E+018,https://twitter.com/mrmacaronii/status/1230046753212321793,video,127300,pic.twitter.com/X,Macaroni
35,2020-02-18 15:14:37,mrmacaronii,,80,214,1523,Ooin! We are doing well! pic.twitter.com/347WUW9ZxF,,,,1.22978630091342E+018,https://twitter.com/mrmacaronii/status/1229786300913418240,picture,0,pic.twitter.com/3,Macaroni
36,2020-02-17 09:21:32,mrmacaronii,,99,200,1374,Are we doing well??? // when should I drop this one with @twyse_116pic.twitter.com/9uKf6V0nIS,,@twyse_116pic,,1.22933506010662E+018,https://twitter.com/mrmacaronii/status/1229335060106620928,picture,0,pic.twitter.com/9,Macaroni
37,2020-02-15 08:41:42,mrmacaronii,,663,3565,8958,Worst Valentine Ever pic.twitter.com/J6YSnK4Buc,,,,1.22860025709059E+018,https://twitter.com/mrmacaronii/status/1228600257090588672,video,113900,pic.twitter.com/J,Macaroni
38,2020-02-14 19:40:22,mrmacaronii,,22,160,824,Fantabulous!!!! True love finally won. Make way for the latest couple on my plate of Indomie. #OG2020 #Myindomiemylove #HappyValentinepic.twitter.com/Rqs2ta5ZY4,,,#OG2020 #Myindomiemylove #HappyValentinepic,1.22840362822393E+018,https://twitter.com/mrmacaronii/status/1228403628223934464,video,18800,pic.twitter.com/R,Macaroni
39,2020-02-13 17:25:37,mrmacaronii,,198,1195,3127,#ValentinesIsComing where is your boyfriend? pic.twitter.com/9Vf03mK2MB,,,#ValentinesIsComing,1.22800733113435E+018,https://twitter.com/mrmacaronii/status/1228007331134345216,video,36900,pic.twitter.com/9,Macaroni
40,2020-02-13 08:24:15,mrmacaronii,,26,264,1209,Don’t judge others for loving differently. We all can’t be the same. Let love lead. #OG2020pic.twitter.com/xnAJSx9WAB,,,#OG2020pic,1.22787108942814E+018,https://twitter.com/mrmacaronii/status/1227871089428135937,video,23500,pic.twitter.com/x,Macaroni
