,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
0,2020-02-24 08:17:39,NastyBlaq,,791,5552,18132,STAY away from WEED I REPEATpic.twitter.com/nuA1a3zyzV,,,,1.23185569581077E+018,https://twitter.com/NastyBlaq/status/1231855695810768896,video,173100,pic.twitter.com/n,Nasty Blaq
1,2020-02-20 08:53:07,NastyBlaq,,397,2786,10536,I can’t come and go and kill myselfpic.twitter.com/SL6PGnu2Nx,,,,1.2304150720796E+018,https://twitter.com/NastyBlaq/status/1230415072079597569,video,87100,pic.twitter.com/S,Nasty Blaq
2,2020-02-19 08:57:03,NastyBlaq,,79,358,4301,WonderWoman wetin dey playpic.twitter.com/WVWBcq9wvC,,,,1.23005367053814E+018,https://twitter.com/NastyBlaq/status/1230053670538137601,picture,0,pic.twitter.com/W,Nasty Blaq
3,2020-02-17 08:44:00,NastyBlaq,,690,5153,15349,When your investment tries to fall your handpic.twitter.com/F7kT7wlLsm,,,,1.22932561265496E+018,https://twitter.com/NastyBlaq/status/1229325612654964737,video,252800,pic.twitter.com/F,Nasty Blaq
4,2020-02-16 12:51:53,NastyBlaq,,38,288,3167,Who wants to see a skit with my president speedopic.twitter.com/7JFjsZl0WO,,,,1.22902560675244E+018,https://twitter.com/NastyBlaq/status/1229025606752444423,picture,0,pic.twitter.com/7,Nasty Blaq
5,2020-02-14 08:26:32,NastyBlaq,,413,2287,5821,Do we really have girls like this in Nigeria pic.twitter.com/Fv8kuiVt3v,,,,1.22823405168681E+018,https://twitter.com/NastyBlaq/status/1228234051686809600,video,38000,pic.twitter.com/F,Nasty Blaq
7,2020-02-13 11:52:20,NastyBlaq,,78,121,2843,Can i be your Val ?pic.twitter.com/oeNXcx4Yso,,,,1.22792345810291E+018,https://twitter.com/NastyBlaq/status/1227923458102906882,picture,0,pic.twitter.com/o,Nasty Blaq
8,2020-02-10 08:32:34,NastyBlaq,,662,5507,16931,When she leaves you for another man ...always do this pic.twitter.com/qZEOVInkS0,,,,1.22678602163696E+018,https://twitter.com/NastyBlaq/status/1226786021636964353,video,235400,pic.twitter.com/q,Nasty Blaq
10,2020-02-09 20:57:08,NastyBlaq,,13,240,1846,Skit with big engine @Skiibii drops 9am tomorrow retweet if u can’t waitpic.twitter.com/qHxUIxaJck,,@Skiibii,,1.22661100983572E+018,https://twitter.com/NastyBlaq/status/1226611009835716617,picture,0,pic.twitter.com/q,Nasty Blaq
11,2020-02-08 10:22:45,NastyBlaq,,133,1367,5462,The best means of transportation now in Lagos pic.twitter.com/sAI17YeQB2,,,,1.22608897309905E+018,https://twitter.com/NastyBlaq/status/1226088973099044864,video,34500,pic.twitter.com/s,Nasty Blaq
13,2020-02-07 11:11:55,NastyBlaq,,59,673,4810,Thank you 300k followers on Instagram thank you guys for everything pic.twitter.com/QXO29GJJjg,,,,1.2257389597179E+018,https://twitter.com/NastyBlaq/status/1225738959717896193,video,26500,pic.twitter.com/Q,Nasty Blaq
14,2020-02-05 10:19:13,NastyBlaq,,535,4710,12898,Money is the root of evil pic.twitter.com/olSnlGCIMp,,,,1.22500092115703E+018,https://twitter.com/NastyBlaq/status/1225000921157029891,video,132600,pic.twitter.com/o,Nasty Blaq
15,2020-02-03 10:43:47,NastyBlaq,,279,3541,8830,It’s scientifically proven that everybody in Lagos is MADpic.twitter.com/YGK5h5uhW4,,,,1.22428232578727E+018,https://twitter.com/NastyBlaq/status/1224282325787271168,video,114400,pic.twitter.com/Y,Nasty Blaq
16,2020-01-29 09:20:00,NastyBlaq,,202,1693,5609,When your mouth puts you in troublepic.twitter.com/WLeG5RqiMq,,,,1.22244930305201E+018,https://twitter.com/NastyBlaq/status/1222449303052005377,video,52300,pic.twitter.com/W,Nasty Blaq
18,2020-01-27 15:13:42,NastyBlaq,,94,790,3469,When your village people wants to disgrace youpic.twitter.com/wNq7LfYp68,,,,1.22181353689002E+018,https://twitter.com/NastyBlaq/status/1221813536890015744,video,26500,pic.twitter.com/w,Nasty Blaq
24,2020-01-24 08:20:31,NastyBlaq,,16,162,1157,Happy Feet pic.twitter.com/5HYMQpr3zj,,,,1.22062239217691E+018,https://twitter.com/NastyBlaq/status/1220622392176906240,video,9500,pic.twitter.com/5,Nasty Blaq
28,2020-01-22 08:34:00,NastyBlaq,,569,3175,8999,When Amaka disappoints pic.twitter.com/QZCjX7dZrm,,,,1.21990101151244E+018,https://twitter.com/NastyBlaq/status/1219901011512438784,video,143300,pic.twitter.com/Q,Nasty Blaq
