,Unnamed: 0,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
0,6,2020-02-21 21:47:31,_Taaooma,Demo__UK,1,1,23,pic.twitter.com/wXdhJvNut7,,,,1.23097234122569E+018,https://twitter.com/_Taaooma/status/1230972341225689088,picture,0,pic.twitter.com/w,Taaooma
1,8,2020-02-21 21:17:41,_Taaooma,,178,527,5336,Bomboclat !!pic.twitter.com/fyH6h0ti4c,,,,1.23096483416392E+018,https://twitter.com/_Taaooma/status/1230964834163920897,picture,0,pic.twitter.com/f,Taaooma
2,10,2020-02-21 09:45:39,_Taaooma,,768,4927,17286,These days you have to be smart with your wife pic.twitter.com/lz4VDK2UZ3,,,,1.23079067959865E+018,https://twitter.com/_Taaooma/status/1230790679598653440,video,147500,pic.twitter.com/l,Taaooma
3,11,2020-02-21 08:26:51,_Taaooma,,420,975,14436,Be You The world will adjust pic.twitter.com/zZcsIm46sk,,,,1.2307708461861E+018,https://twitter.com/_Taaooma/status/1230770846186102785,picture,0,pic.twitter.com/z,Taaooma
4,22,2020-02-18 23:45:10,_Taaooma,TitusJulius9,4,1,69,No be me and you opic.twitter.com/JLXO4nU3WI,,,,1.22991478542631E+018,https://twitter.com/_Taaooma/status/1229914785426309120,picture,0,pic.twitter.com/J,Taaooma
5,27,2020-02-18 09:00:55,_Taaooma,UnclePamilerin,7,8,310,pic.twitter.com/UhhIyD3zUf,,,,1.22969225677445E+018,https://twitter.com/_Taaooma/status/1229692256774447105,picture,0,pic.twitter.com/U,Taaooma
6,31,2020-02-17 09:53:02,_Taaooma,,1309,7566,26023,I only answered a question o Ha!pic.twitter.com/eNHJcgKOmi,,,,1.22934298708532E+018,https://twitter.com/_Taaooma/status/1229342987085320192,video,206400,pic.twitter.com/e,Taaooma
7,32,2020-02-16 19:23:58,_Taaooma,,713,5148,16873,Oluwa wetin Dey undertake. Why do mothers do this?!pic.twitter.com/0NQfND3riu,,,,1.22912427945689E+018,https://twitter.com/_Taaooma/status/1229124279456890881,video,123000,pic.twitter.com/0,Taaooma
8,34,2020-02-16 08:28:26,_Taaooma,sireayo,3,0,68,craze,,,,1.22895930621473E+018,https://twitter.com/_Taaooma/status/1228959306214727682,picture,0,pic.twitter.com/1,Taaooma
9,36,2020-02-15 11:45:03,_Taaooma,,505,1546,22331,T A A O O M Apic.twitter.com/wgwuOMUAkt,,,,1.22864639956423E+018,https://twitter.com/_Taaooma/status/1228646399564230656,picture,0,pic.twitter.com/w,Taaooma
10,37,2020-02-13 16:16:47,_Taaooma,,1973,8000,25421,Boys also like amebo . Abeg!pic.twitter.com/wamfuuLTt0,,,,1.22799000852457E+018,https://twitter.com/_Taaooma/status/1227990008524570625,video,216300,pic.twitter.com/w,Taaooma
11,38,2020-02-13 12:45:46,_Taaooma,UnclePamilerin,2,4,74,What eez this accusation now ?pic.twitter.com/xMpbQdmOW9,,,,1.22793690561608E+018,https://twitter.com/_Taaooma/status/1227936905616076800,picture,0,pic.twitter.com/x,Taaooma
12,39,2020-02-13 09:41:17,_Taaooma,UnclePamilerin,8,2,162,pic.twitter.com/3rfpTNy7li,,,,1.2278904781815E+018,https://twitter.com/_Taaooma/status/1227890478181502976,picture,0,pic.twitter.com/3,Taaooma
13,42,2020-02-11 10:40:27,_Taaooma,,77,531,5999,"Happy birthday sir and thank you for everything you do, God bless you. I didn’t even know we share same month pic.twitter.com/QLaU0fSyo8",,,,1.22718059304739E+018,https://twitter.com/_Taaooma/status/1227180593047392256,picture,0,pic.twitter.com/Q,Taaooma
14,44,2020-02-11 09:40:50,_Taaooma,,3331,11962,36181,What valentine will cause ehnnn!! pic.twitter.com/uTSS0Ze2UV,,,,1.22716558959415E+018,https://twitter.com/_Taaooma/status/1227165589594148864,video,315800,pic.twitter.com/u,Taaooma
15,46,2020-02-10 09:21:46,_Taaooma,,423,1037,18080,Hello Monday !!pic.twitter.com/HYX2oCdrb5,,,,1.22679840012709E+018,https://twitter.com/_Taaooma/status/1226798400127094786,picture,0,pic.twitter.com/H,Taaooma
