,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
27,2020-02-23 14:31:53,twyse_116,,6,4,27,For the first time https://twitter.com/miss_ezeani/status/1231586207869652992 …pic.twitter.com/dN61OY3t2B,,,,1.23158748592018E+018,https://twitter.com/twyse_116/status/1231587485920178176,video,509,pic.twitter.com/d,Twyse
56,2020-02-22 13:53:30,twyse_116,,6,10,129,pic.twitter.com/HHb8neugDk,,,,1.23121543977199E+018,https://twitter.com/twyse_116/status/1231215439771992064,picture,0,pic.twitter.com/H,Twyse
57,2020-02-22 13:53:19,twyse_116,,70,240,1774,Let me bless your timeline pic.twitter.com/och3Xxie7q,,,,1.23121539402056E+018,https://twitter.com/twyse_116/status/1231215394020560896,picture,0,pic.twitter.com/o,Twyse
64,2020-02-22 09:19:40,twyse_116,,156,1128,2568,Wehcome toe Ooin Secondary School ⁣pic.twitter.com/OmZVuMcQX3,,,,1.23114652819619E+018,https://twitter.com/twyse_116/status/1231146528196190208,video,20600,pic.twitter.com/O,Twyse
66,2020-02-21 19:01:55,twyse_116,,2,207,80,Pls do whatever you can to help. Even a retweet will go a long way. Thank you . Name: Kayode Kofoworola. Diagnosed with Avascular Necrosis in June 2019 & needs surgery on both hips. He did the first hip for N2.3m in Oct. but the other one is very bad now & needs operation.pic.twitter.com/AGAovR2BeZ,,,,1.23093066818151E+018,https://twitter.com/twyse_116/status/1230930668181508101,picture,0,pic.twitter.com/A,Twyse
108,2020-02-19 04:47:10,twyse_116,,270,6397,11011,"If you haven’t seen TWYSE AND FAMILY The Movie in Nigeria, it will be showing in Cinemas next month. Please help me retweet and tell your Neighbor pic.twitter.com/8nR6OGrvzV",,,,1.22999078773321E+018,https://twitter.com/twyse_116/status/1229990787733213185,picture,0,pic.twitter.com/8,Twyse
116,2020-02-18 20:30:13,twyse_116,iamisiano,2,3,44,Are you normal laidis ?pic.twitter.com/S49VNz9sPu,,,,1.22986572765979E+018,https://twitter.com/twyse_116/status/1229865727659794433,picture,0,pic.twitter.com/S,Twyse
119,2020-02-18 20:25:01,twyse_116,,46,10,103,"Smart phone users, how smart are you? What does this emoji mean?pic.twitter.com/BCHK1NnEYB",,,,1.22986441768219E+018,https://twitter.com/twyse_116/status/1229864417682186240,picture,0,pic.twitter.com/B,Twyse
142,2020-02-18 07:29:39,twyse_116,,6,21,98,"Igbo People, how true is this ?pic.twitter.com/DZTEeSYRtF",,,,1.22966928996526E+018,https://twitter.com/twyse_116/status/1229669289965256705,video,1500,pic.twitter.com/D,Twyse
162,2020-02-14 19:10:19,twyse_116,,15,49,253,IBADAN See you tomorrow !!pic.twitter.com/jq2vsu5S80,,,,1.22839606883407E+018,https://twitter.com/twyse_116/status/1228396068834074626,picture,0,pic.twitter.com/j,Twyse
163,2020-02-13 20:03:35,twyse_116,,9,23,82,"IBADAN are we ready? See you all this Saturday! ⁣ Date: Saturday 15th February 2020. ⁣⁣⁣⁣⁣ ⁣⁣⁣Venue: Apollo’s Bar and Lounge. Palms Mall, Ring Road. Ibadan ⁣ Gate Fee: FREE⁣ @apollosloungeandbar⁣ @icebubblesng⁣ ⁣ See you all there! ⁣⁣⁣⁣⁣ #TwyseAndFamilypic.twitter.com/O4JIuGdl0w",,@apollosloungeandbar @icebubblesng,#TwyseAndFamilypic,1.22804708401365E+018,https://twitter.com/twyse_116/status/1228047084013654017,picture,0,pic.twitter.com/O,Twyse
167,2020-02-11 15:08:52,twyse_116,,2,1,13,jus listen to yoursef https://twitter.com/pearly_troy/status/1227247256358789123 …pic.twitter.com/DOhoT2Toaw,,,,1.22724813836644E+018,https://twitter.com/twyse_116/status/1227248138366439424,picture,0,pic.twitter.com/D,Twyse
181,2020-02-11 09:12:00,twyse_116,Mayormaxx,5,5,24,Why this ?pic.twitter.com/Bsu4b9O3et,,,,1.22715833296588E+018,https://twitter.com/twyse_116/status/1227158332965883906,video,632,pic.twitter.com/B,Twyse
187,2020-02-09 21:27:30,twyse_116,,3,7,98,Thank you all .pic.twitter.com/TPXSrOwWWY,,,,1.22661865278036E+018,https://twitter.com/twyse_116/status/1226618652780355585,picture,0,pic.twitter.com/T,Twyse
