date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-22 20:48:05,crazeclown,,8,6,116,"Environment adds to functionality",,,,1231319774451392513,https://twitter.com/crazeclown/status/1231319774451392513
2020-02-22 20:47:48,crazeclown,,66,25,428,"I should do a giveaway on twitter sometime ...",,,,1231319701013311488,https://twitter.com/crazeclown/status/1231319701013311488
2020-02-20 16:28:17,crazeclown,AnApeInKhakis,3,5,45,"Are you Canadian?https://twitter.com/anapeinkhakis/status/1229583799693918208 …",,,,1230529615300567042,https://twitter.com/crazeclown/status/1230529615300567042
2020-02-20 16:16:03,crazeclown,Chidubem_OH,2,11,67,"Gboshttps://twitter.com/chidubem_oh/status/1230180761342480384 …",,,,1230526536387833858,https://twitter.com/crazeclown/status/1230526536387833858
2020-02-20 16:15:56,crazeclown,marvelbellarke,0,7,34,"Gbashttps://twitter.com/marvelbellarke/status/1229868125941850113 …",,,,1230526508009246720,https://twitter.com/crazeclown/status/1230526508009246720
2020-02-16 15:43:43,crazeclown,asqvared,8,12,98,"Friends? https://twitter.com/asqvared/status/1228689829761863680 …",,,,1229068850685186050,https://twitter.com/crazeclown/status/1229068850685186050
2020-02-14 06:14:10,crazeclown,,769,5671,14485,"What colour is the best for a Casket? pic.twitter.com/7oQxLM9q05",,,,1228200741187178497,https://twitter.com/crazeclown/status/1228200741187178497
2020-02-12 10:12:19,crazeclown,MBuhari,5,44,124,"Classichttps://twitter.com/MBuhari/status/557107789256859648 …",,,,1227535900919451648,https://twitter.com/crazeclown/status/1227535900919451648
2020-02-08 00:08:11,crazeclown,,13,20,161,"Advice yourself in four words? ‘No Do Pass Yourself’",,,,1225934312366891008,https://twitter.com/crazeclown/status/1225934312366891008
2020-02-08 00:07:38,crazeclown,,3,6,71,"No go dey do pass yourself",,,,1225934174080643076,https://twitter.com/crazeclown/status/1225934174080643076
2020-02-08 00:07:26,crazeclown,,6,8,89,"Where we dey turn up!? Bottles on me",,,,1225934123753185280,https://twitter.com/crazeclown/status/1225934123753185280
2020-02-08 00:07:14,crazeclown,,16,23,402,"THANK YOU 100k FOLLOWERS! I’m stil cooking my appreciation speech",,,,1225934071315955714,https://twitter.com/crazeclown/status/1225934071315955714
2020-02-07 18:59:14,crazeclown,,11,13,156,"Do you think everyone has a price? Do you think any amount of money can make you do something you would never think of doing?",,,,1225856562490679296,https://twitter.com/crazeclown/status/1225856562490679296
2020-02-07 18:56:52,crazeclown,,58,54,382,"Are you really Happy or you are pretending?",,,,1225855968677941251,https://twitter.com/crazeclown/status/1225855968677941251
2020-02-07 18:27:26,crazeclown,,21,15,318,"99.9k followers on this Twitter Thank you guys",,,,1225848560517820416,https://twitter.com/crazeclown/status/1225848560517820416
2020-02-05 19:26:46,crazeclown,,22,11,155,"How do you lose weight permanently? Feels like my Fat just comes back whenever it wants to. No warnings nothing at all",,,,1225138715993034758,https://twitter.com/crazeclown/status/1225138715993034758
2020-02-05 19:25:34,crazeclown,,138,33,499,"What makes you happy?",,,,1225138412790976513,https://twitter.com/crazeclown/status/1225138412790976513
2020-02-03 16:22:11,crazeclown,,10,92,389,"... Just because something is ‘Tradition’ doesn’t make it right.",,,,1224367487929782273,https://twitter.com/crazeclown/status/1224367487929782273
2020-02-03 16:21:52,crazeclown,,2,48,265,"Simply MAD!pic.twitter.com/CC1pVpkRsP",,,,1224367409643032576,https://twitter.com/crazeclown/status/1224367409643032576
2020-02-02 13:22:55,crazeclown,,1088,7333,23665,"... Only if I could outrun this Dubai police cars this man would have been explaining my slap to witnesses pic.twitter.com/bcDgc7UeyH",,,,1223959984377036801,https://twitter.com/crazeclown/status/1223959984377036801
2020-01-29 21:53:10,crazeclown,,17,25,341,"I don’t tweet much but when I do I try",,,,1222638843960221696,https://twitter.com/crazeclown/status/1222638843960221696
2020-01-29 21:45:27,crazeclown,,25,32,482,"Been to 25 countries in my lifetime ... I’m adding 10 countries to the list this year alone",,,,1222636903448616960,https://twitter.com/crazeclown/status/1222636903448616960
2020-01-29 21:44:19,crazeclown,8Ab_8,1,2,80,"Been catching flights https://twitter.com/8Ab_8/status/1222635924254797825 …",,,,1222636617464193024,https://twitter.com/crazeclown/status/1222636617464193024
2020-01-29 21:39:06,crazeclown,spectatorindex,6,5,78,"Dubai https://twitter.com/spectatorindex/status/1222385389131841536 …",,,,1222635304101826560,https://twitter.com/crazeclown/status/1222635304101826560
2020-01-28 08:44:33,crazeclown,chemicalbrodar,4,9,101,"Please where’s the children’s department?https://twitter.com/chemicalbrodar/status/1222066090341281793 …",,,,1222077992282787840,https://twitter.com/crazeclown/status/1222077992282787840
2020-01-28 08:43:52,crazeclown,,8,20,218,"You gotta be careful on these streets!",,,,1222077822581297153,https://twitter.com/crazeclown/status/1222077822581297153
2020-01-28 08:40:58,crazeclown,IbitoyeTun,1,3,48,"Wetin him do? https://twitter.com/IbitoyeTun/status/1221999310075834370 …",,,,1222077091350556672,https://twitter.com/crazeclown/status/1222077091350556672
2020-01-28 08:40:40,crazeclown,esujohn,0,0,1,"Esuuuu my guyyy long time",,,,1222077016096288770,https://twitter.com/crazeclown/status/1222077016096288770
2020-01-28 08:40:28,crazeclown,,9,128,478,"Me chasing my Dreams until Reality Hits me pic.twitter.com/PMRlqxF0Fi",,,,1222076966024683522,https://twitter.com/crazeclown/status/1222076966024683522
2020-01-28 02:28:03,crazeclown,,27,8,230,"Yo twitter what’s good?",,,,1221983243056099334,https://twitter.com/crazeclown/status/1221983243056099334
2020-01-26 14:34:22,crazeclown,Sydney_Talker,0,30,233,"HAPPY BIRTHDAY TO A TALENTED BROTHER @Sydney_Talker ... More Wins for you this year! https://twitter.com/Sydney_Talker/status/1221391719243112450 …",,@Sydney_Talker,,1221441251465146369,https://twitter.com/crazeclown/status/1221441251465146369
2020-01-25 06:47:03,crazeclown,,25,113,583,"You may not be your bestfriend’s bestfriend",,,,1220961261690740737,https://twitter.com/crazeclown/status/1220961261690740737
2020-01-25 06:37:53,crazeclown,,11,24,203,"Nobody can be YOU",,,,1220958952151769090,https://twitter.com/crazeclown/status/1220958952151769090
2020-01-24 16:53:16,crazeclown,UberFacts,8,12,77,"I’m a freaking PANDA https://twitter.com/UberFacts/status/1220513309784444928 …",,,,1220751433932443648,https://twitter.com/crazeclown/status/1220751433932443648
2020-01-24 16:52:00,crazeclown,burnaboy,13,32,191,"I can keep your secret but it’s the people I tell that can’t keep it.https://twitter.com/burnaboy/status/1220675341615656961 …",,,,1220751114032898049,https://twitter.com/crazeclown/status/1220751114032898049
2020-01-24 16:51:59,crazeclown,,75,687,1966,"DUBAI was short lived pic.twitter.com/lAmcvbRmaJ",,,,1220751108848734213,https://twitter.com/crazeclown/status/1220751108848734213
2020-01-23 10:35:31,crazeclown,Tife_fabunmi,0,3,72,"@Og_tegahttps://twitter.com/Tife_fabunmi/status/1220227313650061312 …",,@Og_tegahttps,,1220293981378109441,https://twitter.com/crazeclown/status/1220293981378109441
2020-01-23 10:26:52,crazeclown,,97,22,317,"A Wise Man Once said ...",,,,1220291804345577483,https://twitter.com/crazeclown/status/1220291804345577483
2020-01-23 10:26:13,crazeclown,,8,29,145,"I really don’t like explaining myself ... it stresses my brain",,,,1220291638095904768,https://twitter.com/crazeclown/status/1220291638095904768
2020-01-23 10:24:30,crazeclown,GhostMaxz,8,18,124,"People will read this tweet and continue scrolling ... only a few will pause and think about ithttps://twitter.com/GhostMaxz/status/1220229569489317888 …",,,,1220291206053335040,https://twitter.com/crazeclown/status/1220291206053335040
2020-01-23 10:19:41,crazeclown,mreazi,3,3,43,"https://twitter.com/mreazi/status/1220235536398454784 …",,,,1220289994008547329,https://twitter.com/crazeclown/status/1220289994008547329
2020-01-23 06:32:53,crazeclown,,17,64,296,"BOMBOCLAT pic.twitter.com/3sr4qiEgZe",,,,1220232920033636352,https://twitter.com/crazeclown/status/1220232920033636352
2020-01-23 06:32:08,crazeclown,,4,10,101,"How do you send ‘I need a little favour from you, not money tho’ to someone you don’t know or have never met? The kinda DMs I get sha",,,,1220232730333585409,https://twitter.com/crazeclown/status/1220232730333585409
2020-01-23 06:29:33,crazeclown,,50,39,575,"Someone cannot watch blue feem in this Dubai",,,,1220232080128385025,https://twitter.com/crazeclown/status/1220232080128385025
2020-01-22 09:34:20,crazeclown,,35,71,529,"How are we Nigerians going to behave this Sunday when @burnaboy gets announced as the winner at the Grammys?",,@burnaboy,,1219916193450135553,https://twitter.com/crazeclown/status/1219916193450135553
2020-01-22 09:32:22,crazeclown,,2,0,22,"@lasisielenu how far? I never get the 2m alert o.. abi you no want that stuff again?",,@lasisielenu,,1219915700179013632,https://twitter.com/crazeclown/status/1219915700179013632
2020-01-22 09:16:41,crazeclown,,15,28,340,"I haven’t seen my lady for almost 3 months ... my soldiers are anxious",,,,1219911755213742080,https://twitter.com/crazeclown/status/1219911755213742080
2020-01-21 19:33:39,crazeclown,,46,293,2560,"Thank you Mr Saif Ahmad Belhasa for hosting me at your Farm Great experience. Very Humble Man i say pic.twitter.com/GL6kadELyc",,,,1219704630042669056,https://twitter.com/crazeclown/status/1219704630042669056
2020-01-21 06:06:42,crazeclown,,304,2301,4880,"When people watch Drug movies and start acting up W/ @lasisielenupic.twitter.com/UijUxqxfg3",,@lasisielenupic,,1219501556036448256,https://twitter.com/crazeclown/status/1219501556036448256
2020-01-20 14:40:16,crazeclown,,76,588,1864,"pic.twitter.com/kfsHTZC4VR",,,,1219268409260638209,https://twitter.com/crazeclown/status/1219268409260638209
2020-01-20 14:35:59,crazeclown,_chillara,2,7,42,"Happy birthday deco @_chillara flex boy! Star playerhttps://twitter.com/_chillara/status/1214202250526109701 …",,@_chillara,,1219267333333622784,https://twitter.com/crazeclown/status/1219267333333622784
2020-01-20 14:23:13,crazeclown,Bellar_bee,0,3,87,"Happy birthday my G @Bellar_bee more life Doctor Bubshttps://twitter.com/Bellar_bee/status/1219206908898398211 …",,@Bellar_bee,,1219264117850214401,https://twitter.com/crazeclown/status/1219264117850214401
2020-01-20 02:01:30,crazeclown,fkabudu,6,16,99,"I HATE ironinghttps://twitter.com/fkabudu/status/1218594164092424192 …",,,,1219077459188027393,https://twitter.com/crazeclown/status/1219077459188027393
