date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-23 18:43:44,mrmacaronii,Gavi_Official,2,2,8,"All love my brother. God for us all",,,,1231650869671755777,https://twitter.com/mrmacaronii/status/1231650869671755777
2020-02-23 18:20:17,mrmacaronii,theayoadams,3,0,9,"Na God dey run am",,,,1231644966910386176,https://twitter.com/mrmacaronii/status/1231644966910386176
2020-02-23 18:08:04,mrmacaronii,,69,65,431,"I am prayerfully waiting for that DM! If you know what I mean.... My Twitter people, pray along with me. So that we can all freaky freaky together..",,,,1231641893009788929,https://twitter.com/mrmacaronii/status/1231641893009788929
2020-02-23 18:00:04,mrmacaronii,,74,253,953,"Ooin!! I say Ooin!! His excellency @atiku just followed me. Fantabulous! You are doing well Sah! So freakyyyy",,@atiku,,1231639878833704966,https://twitter.com/mrmacaronii/status/1231639878833704966
2020-02-23 17:45:07,mrmacaronii,atiku,112,360,1069,"Fantabulous! Your Excellency sah, I’m thinking pe I should send my Akant number. So you can Freaky it up. #Youaredoingwellhttps://twitter.com/atiku/status/1231624293395595264 …",,,#Youaredoingwellhttps,1231636117482614784,https://twitter.com/mrmacaronii/status/1231636117482614784
2020-02-23 12:41:25,mrmacaronii,Alade_Emu,20,5,90,"God for us all my brother No be say the money dey like that oo, but when God bless u when u no expect, make u sef do so for others. Oya, I have sent more. Pay your debt and freaky yourself up.",,,,1231559686777982977,https://twitter.com/mrmacaronii/status/1231559686777982977
2020-02-23 12:29:36,mrmacaronii,papaya_ex,72,45,335,"Hello Freaky Freaky, send me your Akant number...https://twitter.com/papaya_ex/status/1231548094766092288 …",,,,1231556712353746945,https://twitter.com/mrmacaronii/status/1231556712353746945
2020-02-22 08:51:02,mrmacaronii,RuBii_Mayannaa,12,29,375,"You captured it We mean business in our School oo! Ooin!!",,,,1231139320893001728,https://twitter.com/mrmacaronii/status/1231139320893001728
2020-02-22 08:46:57,mrmacaronii,,8,11,223,"Visuals by @iamedemvictor",,@iamedemvictor,,1231138293192024064,https://twitter.com/mrmacaronii/status/1231138293192024064
2020-02-22 08:34:27,mrmacaronii,,911,6098,13969,"Ooin Secondary School pic.twitter.com/zuKQMdZh76",,,,1231135147870867456,https://twitter.com/mrmacaronii/status/1231135147870867456
2020-02-21 21:52:08,mrmacaronii,,42,40,426,"Twitter, goodnight ooo. E ma ran mi pada lo si Oko! Ooin!! #Youaredoingwell",,,#Youaredoingwell,1230973502729093120,https://twitter.com/mrmacaronii/status/1230973502729093120
2020-02-21 21:48:47,mrmacaronii,fiyinxjobb,4,0,10,"I already sent to that person also bro. Lol. You are doing well",,,,1230972661959884805,https://twitter.com/mrmacaronii/status/1230972661959884805
2020-02-21 21:45:24,mrmacaronii,JayJayJaraba,13,0,14,"Haa! My brother. Your account is not really doing well. Let me Freaky it up again",,,,1230971811711594503,https://twitter.com/mrmacaronii/status/1230971811711594503
2020-02-21 21:43:06,mrmacaronii,fiyinxjobb,2,0,4,"Olatunji, your faith is strong. I have Freaky your akant up. Check. #Youaredoingwell",,,#Youaredoingwell,1230971231865888777,https://twitter.com/mrmacaronii/status/1230971231865888777
2020-02-21 21:41:16,mrmacaronii,JayJayJaraba,8,2,24,"I have Freaky your account balance up. #Youaredoingwell",,,#Youaredoingwell,1230970771645837313,https://twitter.com/mrmacaronii/status/1230970771645837313
2020-02-21 21:31:30,mrmacaronii,Annie_Berie,1,0,2,"Bless your heart bro",,,,1230968313133568000,https://twitter.com/mrmacaronii/status/1230968313133568000
2020-02-21 21:30:55,mrmacaronii,OmoteOse,1,1,24,"She is doing well",,,,1230968164953055232,https://twitter.com/mrmacaronii/status/1230968164953055232
2020-02-21 21:29:50,mrmacaronii,,29,153,983,"I need to meet this couple abeg They are doing well. Ooin!! pic.twitter.com/3nZdpCPgr9",,,,1230967893426364418,https://twitter.com/mrmacaronii/status/1230967893426364418
2020-02-21 21:27:17,mrmacaronii,Annie_Berie,6,2,30,"I’m actually laughing",,,,1230967252813520896,https://twitter.com/mrmacaronii/status/1230967252813520896
2020-02-21 21:26:44,mrmacaronii,ARTSAIDYES,1,1,2,"You are doing well. Ooin!",,,,1230967111612272640,https://twitter.com/mrmacaronii/status/1230967111612272640
2020-02-21 21:26:17,mrmacaronii,JayJayJaraba,11,1,30,"Send me your Akant number lemme Freaky it up",,,,1230966998949138433,https://twitter.com/mrmacaronii/status/1230966998949138433
2020-02-21 21:16:54,mrmacaronii,pengmanmodel,75,218,870,"Ooin! I say Ooin!!!https://twitter.com/pengmanmodel/status/1230961030462922754 …",,,,1230964638134784000,https://twitter.com/mrmacaronii/status/1230964638134784000
2020-02-21 04:53:40,mrmacaronii,Ollah__,3,1,37,"You are doing well! Ooin",,,,1230717196994637825,https://twitter.com/mrmacaronii/status/1230717196994637825
2020-02-20 14:50:04,mrmacaronii,IamOhmai,6,3,23,"You are doing well! I say Ooin",,,,1230504900313931778,https://twitter.com/mrmacaronii/status/1230504900313931778
2020-02-20 13:03:53,mrmacaronii,,5,7,110,"Visuals by @iamedemvictor",,@iamedemvictor,,1230478177430056963,https://twitter.com/mrmacaronii/status/1230478177430056963
2020-02-20 07:35:49,mrmacaronii,,802,3898,9921,"Somebody Pray For Me pic.twitter.com/GRZhoMdKkq",,,,1230395615789580288,https://twitter.com/mrmacaronii/status/1230395615789580288
2020-02-19 14:59:29,mrmacaronii,ayothecreator,3,4,84,"Ayoooooo!!! Creativity Po!! You are doing well",,,,1230144881546399745,https://twitter.com/mrmacaronii/status/1230144881546399745
