date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-30 12:30:15,AinaTemitope10,djcuppymusic,0,0,0,"Uba Bank #FuisaScholarship",,,#FuisaScholarship,1222859569069686784,https://twitter.com/AinaTemitope10/status/1222859569069686784
2020-01-30 12:29:34,AinaTemitope10,djcuppymusic,0,0,0,"Uba bank",,,,1222859398521020416,https://twitter.com/AinaTemitope10/status/1222859398521020416
2020-01-30 04:52:12,FutureMrs20,PERUZZI__VIBEZ,0,0,0,"2078815373 UBA Bank (S. U. E) that's the abbreviation of my name. https://twitter.com/PERUZZI__VIBEZ/status/1222652920723918848 …",,,,1222744297545650176,https://twitter.com/FutureMrs20/status/1222744297545650176
2020-01-29 23:08:13,Leitoz081,,0,0,2,"#NYSC NYSC, you are owing me!!! I collected 19,800 during my time (so unfair) Now it is 33,000 33,000 - 200 (Bank charge) = 32,800 32,800 - 19,800 = 13,000 13,000 X 12months = 156,000 Kindly send 150k to 2050188743 UBA. Keep the change #NYSC",,,#NYSC #NYSC,1222657732593045504,https://twitter.com/Leitoz081/status/1222657732593045504
2020-01-29 18:31:19,AmehJohn2,djcuppymusic,0,0,0,"UBA Bank #ForTheCultureVideo",,,#ForTheCultureVideo,1222588048057257984,https://twitter.com/AmehJohn2/status/1222588048057257984
2020-01-29 15:41:10,Godofgbenga,,2,1,1,"I transfer #20,000 on 29/01/2020 using *919#code from my UBA acct to Access bank,I was debited,receiver wasnt credited.I made another transfer of #11,000 using *919#code on 29/01/2020 from my UBA acct to http://GTB.My acct was debited.Both receivers didnt get d credit",,,#20 #code #11 #code,1222545226197340165,https://twitter.com/Godofgbenga/status/1222545226197340165
2020-01-29 15:40:40,Godofgbenga,Godofgbenga,0,1,1,"I transfer #20,000 on 29/01/2020 using *919#code from my UBA acct to Access bank,I was debited,receiver wasnt credited.I made another transfer of #11,000 using *919#code on 29/01/2020 from my UBA acct to http://GTB.My acct was debited.Both receivers didnt get d credithttps://twitter.com/Godofgbenga/status/1222537793928409088 …",,,#20 #code #11 #code,1222545100905074691,https://twitter.com/Godofgbenga/status/1222545100905074691
2020-01-29 15:38:40,GobiDaniel,,0,0,2,"Earlier today, we took more measurements and we also took delivery of our materials. We'll commence sewing of 60 uniforms today. I humbly solicit your support Account Number: 2070946543 Account Name: Gobi Daniel Bank: UBA #CAK @InsideKaduna_ @UNICEFEducation @WBG_Educationpic.twitter.com/sgRqu38mjK",,@InsideKaduna_ @UNICEFEducation @WBG_Educationpic,#CAK,1222544595642470402,https://twitter.com/GobiDaniel/status/1222544595642470402
2020-01-29 13:11:32,TheLadyPsalmist,nelsonbello_,2,0,6,"Millions! As First Bank and UBA did when they sacked MANY of their staffs?",,,,1222507571585654785,https://twitter.com/TheLadyPsalmist/status/1222507571585654785
2020-01-29 12:04:15,ABU_Campus,,5,254,202,"Good Day guys, this is a brother In need of just 15k to complete His school fees, the closing date is almost upon us, nothing is too small PLEASE. 2115757310 Abdulmumin abdulsalam UBA bank Your retweet will go a long way! pic.twitter.com/hIXNM8WBDH",,,,1222490636181475328,https://twitter.com/ABU_Campus/status/1222490636181475328
2020-01-29 10:31:26,kcnaija,OmoGbajaBiamila,16,5,32,"People who were fired from banks like UBA this 2020 didn’t do anything to be sacked. Though they were good employees, the bank no longer needed their services. Same with this man. His marriage matters more to him. Let the secretary go and open her own company!",,,,1222467278127669250,https://twitter.com/kcnaija/status/1222467278127669250
2020-01-29 09:58:40,hansomevik1886,,1,0,0,"Y'all be mindful of these fraudsters all over the internet. Just coz i made a payment with my mum's credit card through @PayPal , few minutes later, some pinhead called my mum claiming to work for UBA bank, that she should provide her real Date of Birth. Jobless mofos everywhere",,@PayPal,,1222459032524464129,https://twitter.com/hansomevik1886/status/1222459032524464129
