date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-24 08:17:39,NastyBlaq,,791,5552,18132,"STAY away from WEED I REPEATpic.twitter.com/nuA1a3zyzV",,,,1231855695810768896,https://twitter.com/NastyBlaq/status/1231855695810768896
2020-02-20 08:53:07,NastyBlaq,,397,2786,10536,"I can’t come and go and kill myselfpic.twitter.com/SL6PGnu2Nx",,,,1230415072079597569,https://twitter.com/NastyBlaq/status/1230415072079597569
2020-02-19 08:57:03,NastyBlaq,,79,358,4301,"WonderWoman wetin dey playpic.twitter.com/WVWBcq9wvC",,,,1230053670538137601,https://twitter.com/NastyBlaq/status/1230053670538137601
2020-02-17 08:44:00,NastyBlaq,,690,5153,15349,"When your investment tries to fall your handpic.twitter.com/F7kT7wlLsm",,,,1229325612654964737,https://twitter.com/NastyBlaq/status/1229325612654964737
2020-02-16 12:51:53,NastyBlaq,,38,288,3167,"Who wants to see a skit with my president speedopic.twitter.com/7JFjsZl0WO",,,,1229025606752444423,https://twitter.com/NastyBlaq/status/1229025606752444423
2020-02-14 08:26:32,NastyBlaq,,413,2287,5821,"Do we really have girls like this in Nigeria pic.twitter.com/Fv8kuiVt3v",,,,1228234051686809600,https://twitter.com/NastyBlaq/status/1228234051686809600
2020-02-13 19:11:50,NastyBlaq,,36,70,958,"My valentine skit will be ready by 9am tomorrow Guys are you ready ?",,,,1228034058678128641,https://twitter.com/NastyBlaq/status/1228034058678128641
2020-02-13 11:52:20,NastyBlaq,,78,121,2843,"Can i be your Val ?pic.twitter.com/oeNXcx4Yso",,,,1227923458102906882,https://twitter.com/NastyBlaq/status/1227923458102906882
2020-02-10 08:32:34,NastyBlaq,,662,5507,16931,"When she leaves you for another man ...always do this pic.twitter.com/qZEOVInkS0",,,,1226786021636964353,https://twitter.com/NastyBlaq/status/1226786021636964353
2020-02-10 08:19:33,NastyBlaq,,0,6,103,"When she leaves you for another man PART 2 W/ @skiibii larvender_ Video: onlyonemarvy . . . . #justcomedy #justforfun #nastyblaq @Peninsula Garden Estate , Lekki https://www.instagram.com/p/B8YQ6LGJPO3/?igshid=vpv5s7rgk0sw …",,@skiibii @Peninsula,#justcomedy #justforfun #nastyblaq,1226782746187640832,https://twitter.com/NastyBlaq/status/1226782746187640832
