date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-23 19:32:21,twyse_116,saint_888,5,0,15,"Me buy Tiger? When they dinnuh swear for me https://twitter.com/saint_888/status/1231630179036016640 …",,,,1231663101562490886,https://twitter.com/twyse_116/status/1231663101562490886
2020-02-23 15:53:09,twyse_116,behappygang,1,0,0,"Mad oh",,,,1231607937371533312,https://twitter.com/twyse_116/status/1231607937371533312
2020-02-23 15:51:44,twyse_116,ShammahBankole,1,1,3,"Don’t put me on IS COMING oh",,,,1231607583464710145,https://twitter.com/twyse_116/status/1231607583464710145
2020-02-23 15:46:51,twyse_116,BisiAdediran,0,0,2,"Seen. It’s nice",,,,1231606353023684609,https://twitter.com/twyse_116/status/1231606353023684609
2020-02-23 15:46:25,twyse_116,miss_ezeani,0,0,0,"",,,,1231606246316400641,https://twitter.com/twyse_116/status/1231606246316400641
2020-02-23 15:44:13,twyse_116,oyebisi_tayo,15,10,49,"This one tht look like Naira Marley. I don’t want abeg https://twitter.com/oyebisi_tayo/status/1231605060959899648 …",,,,1231605689308585984,https://twitter.com/twyse_116/status/1231605689308585984
2020-02-23 15:43:31,twyse_116,miss_ezeani,2,0,3,"You need to gimmie whatever u are smokin dis aftanoon",,,,1231605515236577281,https://twitter.com/twyse_116/status/1231605515236577281
2020-02-23 15:40:05,twyse_116,EricIsSavage1,0,1,1,"",,,,1231604652359266306,https://twitter.com/twyse_116/status/1231604652359266306
2020-02-23 15:39:53,twyse_116,great_soko,0,0,1,"It mus not grow oh",,,,1231604601339760640,https://twitter.com/twyse_116/status/1231604601339760640
2020-02-23 15:37:45,twyse_116,Abefeokin38,1,0,0,"Aww see fine dog",,,,1231604065487982593,https://twitter.com/twyse_116/status/1231604065487982593
2020-02-23 15:36:37,twyse_116,MelaninBele,4,0,1,"This feem is full of ‘fok fok fok’ but i’m enjoying it sha",,,,1231603780367638529,https://twitter.com/twyse_116/status/1231603780367638529
2020-02-23 15:34:55,twyse_116,,16,1,80,"I want a puppy",,,,1231603351269388288,https://twitter.com/twyse_116/status/1231603351269388288
2020-02-23 15:07:10,twyse_116,sportaneouspato,1,0,1,"",,,,1231596367950249984,https://twitter.com/twyse_116/status/1231596367950249984
2020-02-23 15:06:18,twyse_116,thefolabi,0,0,2,"I’m responding to someone tht quoted Old Testament",,,,1231596150270103553,https://twitter.com/twyse_116/status/1231596150270103553
2020-02-23 14:54:04,twyse_116,,33,5,74,"Can anybody pls recommend a good Horror film/Thriller on Netflix ?",,,,1231593069390237697,https://twitter.com/twyse_116/status/1231593069390237697
2020-02-23 14:51:28,twyse_116,UkaegbuGreatJnr,0,0,5,"Stop it. Ok I’m done https://twitter.com/ukaegbugreatjnr/status/1231592014829015043 …",,,,1231592417784188928,https://twitter.com/twyse_116/status/1231592417784188928
2020-02-23 14:49:29,twyse_116,Uncle_daddy01,1,0,4,"Ahan",,,,1231591915616899072,https://twitter.com/twyse_116/status/1231591915616899072
2020-02-23 14:47:39,twyse_116,Juliet13150896,2,1,16,"Not everybody prays tho, have you heard of the word ‘hustle’ ?https://twitter.com/juliet13150896/status/1231589702509178885 …",,,,1231591457401733120,https://twitter.com/twyse_116/status/1231591457401733120
2020-02-23 14:44:55,twyse_116,saint_888,1,1,10,"Bros jus drink cold mineral, u go dey alright https://twitter.com/saint_888/status/1231589026597134336 …",,,,1231590768038596608,https://twitter.com/twyse_116/status/1231590768038596608
2020-02-23 14:43:35,twyse_116,Adetayo18948974,1,0,4,"",,,,1231590432557191168,https://twitter.com/twyse_116/status/1231590432557191168
